GSM1358650	GSM1358651	GSM1358652	GSM1358653	GSM1358654	GSM1358655	GSM1358656	GSM1358657	GSM1358658	GSM1358659	GSM1358660	GSM1358661	GSM1358662	GSM1358663	GSM1358664
AB011174	930.7422699	884.2776874	309.1524377	942.8259616	884.5089148	947.7708205	995.8423631	1233.021436	1026.152542	430.8621736	190.6412332	572.8689097	83.79576932	70.59141431	1222.884553
AB011180	156.3696478	18.8298506	39.8764278	22.99346756	37.39561124	2185.865267	135.7670273	155.8974923	34.86706577	51.34693515	17.35740043	27.70155699	63.08432531	150.5462192	78.41241664
AB011539	298.2369626	146.7001239	766.9190147	1007.044542	1119.611456	854.9991293	519.3213927	1047.200094	1660.555787	200.8621636	103.5212622	640.1557257	32.32076508	26.30503457	686.2830692
AB012143	81.74277025	96.31156896	59.52961415	1011.102148	426.0524649	108.6461539	574.8650065	840.0048877	327.4812234	113.5449184	110.8942431	169.0266802	90.0307593	173.7883469	691.3394011
AB012614	743.9240465	1089.501879	401.5489466	2003.90415	2368.258107	176.9043052	3173.494838	3741.68832	3443.797871	2415.380555	859.4199465	1709.018788	625.8573708	1130.241846	2984.245289
AB014512	636.4987885	128.651463	525.2861438	156.1736734	452.6669588	392.1701941	109.2275037	334.1109791	13.93215079	1019.313583	44.27805891	142.4963876	50.97584758	17.49986419	214.2241232
AB014514	933.0154924	296.4158521	410.0892895	611.1940495	1581.92368	700.9428186	1385.843404	1184.870998	970.1153987	980.7068624	728.5369202	1738.545187	834.7127396	72.61019685	989.3701856
AB014527	70.14053075	135.1235171	555.2501034	750.4318639	575.0700666	188.1847666	1066.11694	1258.566178	663.1052504	590.5089189	680.4750442	1205.575267	953.6451188	1612.320298	1182.919002
AB014576	915.3561982	1280.311035	1423.272888	1949.254165	2356.749743	1995.482971	1931.907598	1462.302519	1195.072386	350.3428005	470.5734509	430.2194841	40.18136698	432.2396373	2119.433019
AB014593	16.19616872	29.18051813	25.72524535	31.30371458	22.6480165	13.72816908	40.9927795	102.6660495	23.82732622	18.4412737	12.19763745	15.04261307	24.85244774	73.25412542	64.85731648
AB014601	494.7369917	58.31525652	35.46052034	78.33332442	231.5956107	325.34252	127.0822031	301.1314054	1026.152542	68.60273848	169.4583804	81.48353604	81.13615735	76.81421259	22.20129817
AB014605	101.9795882	33.60534036	181.5802572	26.74913631	665.7852	15.67506074	146.6006216	89.28925679	89.34912931	93.77703101	150.7756029	18.3714721	115.677374	80.94308682	40.94845558
AB014771	75.78452194	32.44681543	255.6430864	159.9764061	59.13671303	1872.191087	182.9096144	244.5922712	70.60815064	1346.847043	345.4342111	208.2960534	243.0019841	109.8035195	531.6554366
AB015046	316.5553576	284.7720913	410.0892895	161.1891231	232.8696082	448.2662989	870.998042	548.5722704	679.8658839	891.9085094	936.2214882	167.7763603	711.2502141	742.7231829	254.489692
AB015983	286.1653751	54.93041205	152.3547814	31.54597367	47.81168237	21.25310409	13.99520087	20.70668521	32.54982809	56.67264896	126.1245397	35.16827848	44.39020321	31.61305023	18.98039025
AB016073	4056.493545	3330.302085	1584.032602	4050.569332	4133.452309	3043.175681	2207.983568	638.4906153	1470.895308	3055.527366	1705.399159	1982.375256	2252.234677	3021.555738	1460.137274
AB016898	220.6446362	62.90378538	1714.810667	99.99127427	613.1378477	173.4106431	655.649619	182.5044957	82.31922195	1274.078205	759.0031662	1252.600283	783.797574	315.1453229	24.45141458
AB016902	1031.428742	650.6028682	78.31426539	70.56990451	389.4091007	537.8860978	64.05593901	37.73410959	150.8068792	61.27436615	967.4227879	265.6484629	204.3538472	31.93825339	163.274076
AB016929	215.4673075	61.06507042	19.343378	26.14381668	173.7594138	105.6862117	26.12660894	41.39867654	20.98540482	16.85004827	40.38551434	11.8356676	12.78410993	334.9620651	26.84810083
AB017007	131.8803955	143.9656423	293.2409605	398.0819075	171.0851675	152.7545428	94.6550853	251.5739281	183.2886537	866.8451988	121.9390826	408.7576015	194.5786166	2232.804249	47.22179433
AB018258	156.3696478	1128.850879	790.0030736	98.53066103	51.19243753	1791.377354	415.9894217	56.9519129	81.93651363	730.0844893	179.599784	364.2575965	2377.341755	622.1222926	181.5429556
AB018263	2169.714742	856.1871999	115.208057	1052.760493	807.041135	1096.94466	284.557393	256.4998289	74.18187163	31.93053288	68.66051621	130.8389838	51.56245241	85.42531528	695.7180208
